"id";"datatime";"latitude";"longitude";"co2"
"448";"2023-09-18 19:10:26";"45,8003";"15,9283";"13365"
"449";"2023-09-18 19:10:48";"45,8003";"15,9283";"21069"
"450";"2023-09-18 19:11:07";"45,8003";"15,9283";"12599"
"451";"2023-09-18 19:11:26";"45,8003";"15,9283";"21069"
"452";"2023-09-18 19:11:44";"45,8003";"15,9283";"21069"
"453";"2023-09-18 19:12:02";"45,8003";"15,9283";"21069"
"454";"2023-09-18 19:12:21";"45,8003";"15,9283";"21069"
"455";"2023-09-18 19:12:40";"45,8002";"15,9283";"11313"
"456";"2023-09-18 19:12:59";"45,8001";"15,9283";"21069"
"457";"2023-09-18 19:13:17";"45,8001";"15,9283";"21069"
"458";"2023-09-18 19:13:36";"45,8001";"15,9283";"21069"
"459";"2023-09-18 19:13:54";"45,8002";"15,9283";"11316"
"460";"2023-09-18 19:14:12";"45,8001";"15,9283";"21069"
"461";"2023-09-18 19:14:31";"45,8";"15,9285";"21069"
"462";"2023-09-18 19:14:50";"45,7996";"15,9285";"11314"
"463";"2023-09-18 19:15:09";"45,7992";"15,9285";"21334"
"464";"2023-09-18 19:15:27";"45,7991";"15,9285";"11829"
"465";"2023-09-18 19:15:46";"45,799";"15,9285";"21069"
"466";"2023-09-18 19:16:05";"45,7991";"15,9282";"11313"
"467";"2023-09-18 19:16:23";"45,7992";"15,9276";"11315"
"468";"2023-09-18 19:16:42";"45,7992";"15,9272";"12332"
"469";"2023-09-18 19:17:01";"45,7993";"15,9269";"19532"
"470";"2023-09-18 19:17:19";"45,7993";"15,9268";"14124"
"471";"2023-09-18 19:17:38";"45,7993";"15,9267";"21069"
"472";"2023-09-18 19:17:57";"45,7993";"15,9265";"21069"
"473";"2023-09-18 19:18:15";"45,7993";"15,9261";"14645"
"474";"2023-09-18 19:18:34";"45,7993";"15,9258";"21069"
"475";"2023-09-18 19:18:53";"45,7993";"15,9255";"11313"
"476";"2023-09-18 19:19:11";"45,7993";"15,9251";"21069"
"477";"2023-09-18 19:19:30";"45,7994";"15,9249";"21069"
"478";"2023-09-18 19:19:48";"45,7995";"15,9249";"12332"
"479";"2023-09-18 19:20:07";"45,7997";"15,9249";"21069"
